Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
SOLENT MISTRESS;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
SANDEE;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
ARIEL GALENE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
AMPLITUDE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
HUMBER GUARDIAN;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
AURORA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
JULIE B;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;18.00;-;-;-;
REVOLUTION;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
STATHAV 21;;-;Denmark (Int. Register);Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;18.00;-;-;-;
SPINDRIFT;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
WHITE ANGEL;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
F/V MEMERE MARIE;;8570702;France (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
IRIS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
SMIT ROTHER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
AWATER;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
GEOSURVEYOR IV;;-;U.K.;dredger;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
KNARR;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
BLUE WHALE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
NERO;;-;Norway (Int. Register);dredger;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
VARNEBANK;;-;Netherlands;tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;34.00;-;-;-;
DIABOLO;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
T 18 MILLE;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
ST NICHOLAS;;-;U.K.;pilot ship;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
SASSY LADY TOO;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
IGMA-KRAAN 4;;-;Netherlands;general cargo;Unknown size;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;43.00;-;-;-;
KIMBERLEY;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
CLEARWATER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
HMS SMITER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
SCOTT BADER;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
GRIFFYN;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
NEW TIMES;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
VB 2;;-;Netherlands;tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
RAYMARINER;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
HMS EXAMPLE;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;20.00;-;-;-;
CHARWILL;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
KIRSTEN GULEV;;-;Denmark (Int. Register);Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
SMIT STOUR;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
MFV BOY JOSHUA R480;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
PROVIDER II BF422;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
WENDING;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
PETIT LAURA;;-;France;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
HM52 KANSAS;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
VRIJHEID;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;22.00;-;-;-;
GREY BEAR;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
IKAA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;38.00;-;-;-;
DANPILOT URSULA;;-;Denmark (Int. Register);pilot ship;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
FREYA;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
FULL CIRCLE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
OARSOME DREAM;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
NEW DAWN;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
LA GAVIOTA;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
SOUND SURVEYOR;;-;U.K.;dredger;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
POPPACROSS;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;8.00;-;-;-;
MFV SAXON SPIRIT;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
ELISE;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;20.00;-;-;-;
MV SOETICHEYT;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;22.00;-;-;-;
PRIMA!;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
MIDNIGHT EXPRESS;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
GIPSY;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
CONCORDE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
SEA LEOPARD;;-;U.K.;diving support;Offshore;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
BRECQHOU CHIEF;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
TONIJN;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;5.00;-;-;-;
SMIT DEE;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;24.00;-;-;-;
VLB 10;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
Versutius;;9418925;Luxembourg;Combined chemical and oil tanker;5'-10'dwt;2008;Live;Navimer S.A.;Luxembourg;;;Navimer S.A.;Luxembourg;;;Navimer S.A.;Luxembourg;;;ABC Maritime AG;Switzerland;;;ABC Maritime AG;Switzerland;;;-;-;;;105.50;7.40;6.29;1.12;
APHRODITE;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
BUCKS FIZZ;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
Castorwater;;9418937;Gibraltar;Combined chemical and oil tanker;5'-10'dwt;2009;Live;Clearwater Group;Netherlands;;;Clearwater Group;Netherlands;;;C Ships BV;Netherlands;;;Clearwater Ship Management B.V.;Netherlands;;;Clearwater Ship Management B.V.;Netherlands;;;Naviglobe N.V.;Belgium;;;105.50;7.40;6.29;1.12;
REAKTOR;;-;Belgium;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
VLB 8;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
VAYA CON DIOS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;19.00;-;-;-;
UNEXPECTED (SH3);;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
MISS MOLLY;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
MOFFE;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
MARTIN-ELS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
CEKI;;-;France;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
Prins 2;;7000231;Belize;hopper barge;Miscellaneous;1969;Live;Van Den Herik Kust en Oeverwerken BV;Netherlands;;;Van Den Herik Kust en Oeverwerken BV;Netherlands;;;Prins Aanneming Maatschappij B.V.;Netherlands;;;Van den Herik Holding (van den Herik Materieel BV);Netherlands;;;Van den Herik Holding (van den Herik Materieel BV);Netherlands;;;-;-;;;65.02;3.50;2.65;0.85;
SEASTART 4;;-;U.K.;tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;8.00;-;-;-;
LADY MEG;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
IMAGINE;;-;Denmark (Int. Register);yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
MIRAGE;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
SIRIUS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
ALIZE;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
RAMBLIN' ROSE;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
EAGLE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
ZEEZEILER;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
HMS BLAZER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
FILIA-MARIS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;18.00;-;-;-;
VIKING;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
TENDER 17;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
CUNADO 3;;-;Netherlands;general cargo;Unknown size;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;108.00;-;-;-;
ADVENTURE BH2;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
QUATRE MAINS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
OPPERTEUR;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
Solero;;9428085;Sweden;Combined chemical and oil tanker;10'-20'dwt;2009;Live;Rederi AB Donsotank;Sweden;;;Rederi AB Donsotank;Sweden;;;Rederi AB Donsotank;Sweden;;;Rederi AB Donsotank;Sweden;;;Rederi AB Donsotank;Sweden;;;-;-;;;149.95;13.05;9.92;3.13;
MAYFLOWER;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
JOSEPHINE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
KBW 1910;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
DEEP BLUE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
CRAZEE-B;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
PIA;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
ROCKET DOG II;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
WACHTER;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
Caroline Essberger;;9439151;Netherlands;Combined chemical and oil tanker;5'-10'dwt;2009;Live;John T. Essberger GmbH & Company KG;Germany;;;John T. Essberger GmbH & Company KG;Germany;;;Caroline Essberger Tankreederei GmbH & Company KG;Germany;;;John T. Essberger GmbH & Company KG;Germany;;;John T. Essberger GmbH & Company KG;Germany;;;-;-;;;124.33;9.20;7.50;1.71;
ADDERETH;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
SOWENA;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
LOTUS BLOSSOM;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
MOLLY;;-;Norway (Int. Register);general cargo;Unknown size;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
BARRACUDA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
ZK5 KLAAS SR;;-;Netherlands;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;20.00;-;-;-;
OPINE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
SI COMO NO;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
PLANKZEIL;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
VANDEN PLAS;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;6.00;-;-;-;
FLYER;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
SUMMERLOVE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
CAMIRA;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
HM22 CHRISTINE;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
D'LA PITCHETTE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
CHALLENGER 4;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;22.00;-;-;-;
DELI;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
ELLA;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
A-QUADRAAT;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
GHOST;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
GRACELAND;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
